Admin,Year,Individual/Company,Industry,Nationality,US/0-US,Penalty,Sanctions Regime,Tag,Voluntary Disclosure?,Egregious Case?,# of violations,Violation Date(s),Announcement Date,Countries Involved,SDN Individual or Entity?,Subsidiary?,Successor Liability,Item(s) Exported/ Other Violations,Value of Items/ Transactions,Items Eligble for License?
Biden,2022,"Murad, LLC",Cosmetics,U.S.,U.S.,"$3,509,286",Iran Transactions & Sanctions Regulations,ITSR,Yes,Yes,62,,5/17/2023,,,,,,,
Biden,2023,"Poloniex, LLC",,,Foreign,"$7,591,630 ","EO13685 (UA), CACR, ITSR, SSR, SySR","EO13685 (UA), CACR, ITSR, SSR, SySR",Yes,No,"65,942",January 2014 and November 2019,,,,,,,,
Biden,2023,British American Tobacco p.l.c.,Tobacco,UK,Foreign,"$508,612,492 ","WMDPSR, NKSR","WMDPSR, NKSR",No,Yes,15,"August 11, 2009 and October 11, 2016",,,,,,,,
Biden,2023,British American Tobacco p.l.c.,Tobacco,UK,Foreign,"$5,348,685","WMDPSR, NKSR","WMDPSR, NKSR",No,Yes,15,,,,,,,,,
Biden,2023,Microsoft Corporation,ICT,U.S.,U.S.,"$2,298,027 ","CACR, ITSR, SySR, URSR","CACR, ITSR, SySR, URSR",Yes,No,"1,339",July 2012 and April 2019,,,,,,,,
Biden,2023,Uphold HQ Inc.,Financial,U.S.,U.S.,"$72,230 ","VSR, EO 13884","VSR, EO 13885",Yes,No,152,"March 2017 and May 2022,",,,,,,,,
Biden,2023,"Wells Fargo Bank, N.A.",Financial,U.S.,U.S.,"$30,000,000 ","ITSR, SSR, SySR","ITSR, SSR, SySR",No,Yes,124,"December 27, 2010 and December 7, 2015",,,,,,,,
Biden,2023,Godfrey Phillips India Limited,Tobacco,India,Foreign,"$332,500 ",Countering America's Adversaries Through Sanctions Act (CAATSA),CAATSA,Yes,No,5,27-Nov-17,,,,,,,,
Biden,2022,"Bittrex, Inc. ",Financial,U.S.,U.S.,"$24,280,829","Executive Order 13685 of December 19, 2014, “Blocking Property of Certain Persons and 
Prohibiting Certain Transactions with Respect to the Crimea Region of Ukraine”; 321 apparent 
violations of the Cuban Assets Control Regulations, 31 C.F.R. §515.201; 94,634 apparent 
violations of the Iranian Transactions and Sanctions Regulations, 31 C.F.R. §560.204; 222 
apparent violations of the now-repealed Sudanese Sanctions Regulations (SSR), 31 C.F.R. 
§538.205;1
 and 7,999 apparent violations of the Syrian Sanctions Regulations","CACR, SSR, SySR, ITSR, EO13682",NO,NO,"116,421"," March 28, 2014 and December 31, 2017",10/11/2022,,,,,,,
Biden,2022,"Tango Card, Inc.",Financial,U.S.,U.S.,"$116,049","Cuban 
Assets Control Regulations (CACR), 31 C.F.R. part 515; § 560.204 of the Iranian Transactions and 
Sanctions Regulations (ITSR), 31 C.F.R. part 560; § 542.207 of the Syrian Sanctions Regulations 
(SSR), 31 C.F.R. part 542; § 510.206 of the North Korea Sanctions Regulations (NKSR), 31 C.F.R. 
part 510; and Executive Order (E.O.) 13685, “Blocking Property of Certain Persons and Prohibiting 
Certain Transactions with Respect to the Crimea Region of Ukraine”","CACR, SSR, SySR, ITSR, EO13683",YES,NO,"27,720",,9/30/2022,,,,,gift card credits,,
