Waybill Number,Startclock Date,source,Destination,Contents, Customs Declared Value 
6422787453,6/1/2023,United States Of America,Russia,DIPLOMATIC MATERIAL,$0.94 
3464718972,6/1/2023,United States Of America,Russia,DIPLOMATIC MATERIAL,$0.94 
4015012411,5/30/2023,Mexico,Russia,LETTER,
9949383496,5/26/2023,Russia,Russia,DOCUMENTATION BILL OF LADING, $-   
2807416695,5/24/2023,United States Of America,Russia,CLINICAL LAB SUPPLIES,$444.71 
8945288306,5/24/2023,United States Of America,Russia,CHALK; JEWS HARP,$397.72 
7765302565,5/19/2023,Bolivia,Russia,DIPLOMATIC MATERIAL,$0.94 
1460553500,5/18/2023,United States Of America,Russia,BUSINESS DOCUMENTS,
1374845765,5/12/2023,Canada,Russia,SET OF HARNESS NURSELEATHER PLAY,$139.41 
1589447296,5/11/2023,Nicaragua,Russia,CONTRACT,
1846187556,5/4/2023,United States Of America,Russia,1. MAGNETIC STIMULATOR NEURO-MS/D DELIVER,"$12,950.00 "
2797701550,5/2/2023,United States Of America,Russia,REPLY LETTER WITH ATTACHMENT,
2706476592,4/27/2023,Ecuador,Russia,DIPLOMATIC POUCH,$0.91 
6195097042,4/26/2023,United States Of America,Russia,"DRY DRINK, TIPS, HAT, CABBAGE CHOPPER, CHALK",$519.39 
5993961820,4/24/2023,Russia,Russia,"100 ENVELOPES WITH POSTCARDS, 80 PASSPORT HO",$413.22 
3341058593,4/22/2023,United States Of America,Russia,"DRY DRINK, TIPS, CABBAGE CHOPPER, CHALK",$486.62 
8213812051,4/19/2023,Ecuador,Russia,DIPLOMATIC POUCH,$0.91 
2370037176,4/12/2023,Canada,Russia,DIPLOMATIC BAGS,$0.91 
3330138615,4/12/2023,United States Of America,Russia,"JEWS HARP, CHALK",$285.69 
8009200076,4/11/2023,United States Of America,Russia,DIPLOMATIC MATERIAL,$0.91 
2533564563,4/3/2023,United States Of America,Russia,GB GMK BRITISH RACING GREEN BRG - BASE K,$118.32 
7420072203,3/27/2023,Canada,Russia,CAMPING TOOL SHIROGOROV,$183.77 
4208383373,3/23/2023,Bolivia,Russia,VALIJA DIPLOMATICA,$0.92 
9872717842,3/23/2023,Ecuador,Russia,DIPLOMATIC POUCH,$0.92 
6597308060,3/13/2023,United States Of America,Russia,"ART PHOTOGRAPHY POUND WITH HARP,","$14,287.42 "
7701860714,3/10/2023,Canada,Russia,DIPLOMATIC MAIL,$0.92 
3246394734,3/9/2023,Russia,Russia,CVD-ZNSE WINDOW D25X4 MM PARTS FOR,"$2,471.01 "
1886261635,3/6/2023,Ecuador,Russia,DIPLOMATIC POUCH,$0.92 
4567280701,3/2/2023,Russia,Russia,INK BASE BOARD V1.4 FOR UV PRINTER,$4.59 
6107128985,2/27/2023,United States Of America,Russia,DIPLOMATIC MAIL,$0.94 
4067096843,2/27/2023,United States Of America,Russia,DIPLOMATIC MATERIAL,$0.94 
7652486936,2/27/2023,United States Of America,Russia,DIPLOMATIC MAIL,$0.94 
7440803591,2/25/2023,Russia,Russia,IDENTITY DOCUMENT,
7079643546,2/22/2023,Ecuador,Russia,DIPLOMATIC POUCH,$0.94 
1444867955,2/11/2023,Mexico,Russia,SINGLE,
1463787905,2/10/2023,Mexico,Russia,DOCUMENTS,
3183620753,2/9/2023,Canada,Russia,DIPLOMATIC BAGS,$0.94 
1019162524,1/30/2023,Bolivia,Russia,VALIJA DIPLOMATICA,$0.92 
1374198932,1/30/2023,Bolivia,Russia,VALIJA DIPLOMATICA,$0.92 
1019143915,1/30/2023,Bolivia,Russia,VALIJA DIPLOMATICA,$0.92 
8471052800,1/27/2023,Russia,Russia,SAMPLES OF SYNTHETIC LABORANOTRY REAGENTS,$55.40 
3183617835,1/24/2023,Canada,Russia,DIPLOMATIC BAGS,$0.92 
3074965552,1/23/2023,United States Of America,Russia,"FEC-03-100 FIGURE-OF-EIGHT COIL, 100 MM FOR","$3,323.79 "
1269815724,1/18/2023,Russia,Russia,ART PANTS AND PLASTIC CHRISTMAS BALLS SET,$311.19 
3032940886,12/23/2022,Russia,Russia,"SILICONE PLATE, RINGS",$58.96 
3101586250,12/22/2022,Russia,Russia,1 LEADER WIRE 3-70-178 WATER METER - 3280 F,$982.22 
6652928531,12/12/2022,Argentina,Russia,"DOCUMENTS, GENERAL BUSINESS",
3234970491,12/5/2022,Russia,Russia,OSMP TIMER FOR SELF MACHINES FOR PAYMENT,$0.03 
5512708320,12/5/2022,Canada,Russia,"SAMPLE FABRIC 100% POLYESTER, TM OLIVIA BOTT",$25.00 
1318316532,12/1/2022,Russia,Russia,EYEBROW AND EYELASH DYE,"$10,762.96 "
4342947755,11/28/2022,Canada,Russia,DIPLOMATIC BAGS,$0.96 
8603528496,11/18/2022,United States Of America,Russia,DIPLOMATIC MATERIAL,$0.96 
1577651375,11/16/2022,Canada,Russia,"PYRAMIDS OF SHUNGITE STONE, PLATE SHUNGITE",$30.10 
8470592200,11/14/2022,Russia,Russia,"MICROSTRIP ISOLATORS, COAXIAL ISOLATORS, WAV","$138,044.19 "
7336334994,11/8/2022,Brazil,Russia,RETORNO WB 6996142705,$394.64 
6979093796,11/7/2022,Russia,Russia,HANDBAGS COTON KNITTED HOMEMADE,$85.67 
5525204381,11/2/2022,Russia,Russia,MARINE BUNKER OIL SAMPLE IN PLASTIC BOTTLE 1,$0.96 
2338752076,10/26/2022,United States Of America,Russia,CONTRACT,
3598760793,10/26/2022,Russia,Russia,FUEL OIL SAMPLE IFO-380 FOR LABORATORY TESTI,$2.02 
2865449731,10/26/2022,Russia,Russia,RESEARCH SAMPLES,$10.09 
8470598614,10/25/2022,Russia,Russia,MARINE BUNKER OIL SAMPLE FOR ANALYSIS NOT RE,$1.01 
4206469492,10/21/2022,Russia,Russia,THERMOELECTRIC MODULES,"$1,239.53 "
3339705740,10/21/2022,Russia,Russia,RESEARCH SAMPLES,$10.09 
3227642003,10/20/2022,Russia,Russia,BUNKER OIL SAMPLES M/T HARMONIA,$1.01 
6167467622,10/19/2022,Russia,Russia,PIGMENT SAMPLES,$616.48 
5339551206,10/18/2022,Canada,Russia,"BASKET HOOP IN A PLASTIC FRAME, NO",$100.90 
3598646203,10/17/2022,Russia,Russia,JONIN PALLET,$812.59 
7567033865,10/16/2022,United States Of America,Russia,DOCUMENTATION A LAWSUIT,
8331368942,10/13/2022,Russia,Russia,"1. PFK-65 - 148 KG, 3904 69 8000","$195,742.10 "
5900222333,10/10/2022,United States Of America,Russia,"JEWS HARP, CREAMS, CHALK",$798.55 
9490266881,9/27/2022,Chile,Russia,DOCUMENTS // REF :,
5762644775,9/23/2022,Mexico,Russia,"4 PULSERAS DE BISUTERIA, 2 ARTESANIAS MEXICA",$25.70 
2990461762,9/21/2022,Russia,Russia,FLUOROPOLYMER ELASTOMERIC PFK-65 -,"$207,777.55 "
5303432256,9/15/2022,Canada,Russia,LEATHER HARNESS/LEATHER ACCESSORIES,$40.02 
7736153213,9/8/2022,Canada,Russia,"DOCUMENTS, GENERAL BUSINESS",
6208042632,9/8/2022,Bahamas,Russia,DOX,
8248732833,9/6/2022,Canada,Russia,2 WOMENS TANK TOPS,$74.66 
2320211655,8/30/2022,United States Of America,Russia,DOCUMENTS,$1.00 
4590583933,8/29/2022,Russia,Russia,BROCAS PARA MANICURA,$961.05 
6654206355,8/24/2022,Russia,Russia,MAGIC TRICKS,"$2,500.13 "
3848854741,8/24/2022,Chile,Russia,DOCUMENTS,
7209869752,8/17/2022,Canada,Russia,JEWS HARP MUSICAL INSTRUMENT,$16.51 
2604161291,8/10/2022,United States Of America,Russia,"DOCUMENTS, GENERAL BUSINESS",$1.00 
3122591360,8/10/2022,Canada,Russia,JEWS HARP MUSICAL INSTRUMENT,$16.51 
4206467801,8/9/2022,United States Of America,Russia,DOX,
4206467775,8/9/2022,United States Of America,Russia,DOX,
4206467790,8/9/2022,United States Of America,Russia,DOX,
4206467786,8/9/2022,United States Of America,Russia,DOX,
9566806701,8/4/2022,Chile,Russia,DOC,
1110004921,8/2/2022,Canada,Russia,DOCUMENTS, $-   
9859740693,7/30/2022,Mexico,Russia,PAQUETES,
6325262204,7/29/2022,United States Of America,Russia,"MENS WHITE COTTON SHIRT, BALENCIAGA, SIZE L",$97.89 
8352467421,7/25/2022,United States Of America,Russia,BIOLOGICAL SUPPLEMENT/BIOLOGICHESKAYA DOBAVK,"$3,240.11 "
7103834194,7/15/2022,Canada,Russia,LEATHER HARNESS/LEATHER ACCESSORIES,$84.18 
7336334994,7/15/2022,Brazil,Russia,RETORNO WB 6996142705,$399.99 
6518226971,7/11/2022,Canada,Russia,DIPLOMATIC BAGS,$0.98 
3795765083,7/7/2022,Mexico,Russia,MATERIAL DE ORTODONCIA,
4521874910,7/6/2022,Russia,Russia,INK CARRIDGE BOARD V1.3 1 INK BASE BOARD V,$3.91 
8088194645,7/5/2022,Russia,Russia,REMOTE FILL,"$6,869.13 "
3628482852,6/30/2022,Canada,Russia,"FESTIVAL HELMET FROM PLASTIC, MANDALORIAN, N",$102.04 
3597823305,6/27/2022,Russia,Russia,6 SCREWS ANO,$48.13 
7110901696,6/23/2022,United States Of America,Russia,GUITAR PEDAL,$19.25 
6359266303,6/21/2022,United States Of America,Russia,CLOTHING ACCESSORIES,$86.64 
5574392412,6/20/2022,Canada,Russia,LADIES LINGERIE,$28.88 
2140891432,6/9/2022,Canada,Russia,DIPLOMATIC BAGS,$0.96 
7299892014,6/8/2022,United States Of America,Russia,"CORAL LIP PIGMENT 10 ML,ROSE LIP PIGMENT 10",$828.84 
9025632766,6/8/2022,United States Of America,Russia,NOTARIZED TRANSLATION OF THE PASSPORT,$1.00 
2537977735,6/6/2022,Russia,Russia,"EXEMPT HUMAN SPECIMEN, NON HAZARDOUS, NON I",$1.93 
5060663812,6/6/2022,Russia,Russia,USB CABLE 30 PCS, $-   
6462372954,6/3/2022,United States Of America,Russia,"CLOTHES, SHOES, COSMETICS, MEDICINES, ELECTR","$1,005.01 "
1629755982,6/2/2022,Belize,Russia,"DOCUMENTS, GENERAL BUSINESS",
